"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"194275","2016-03",-7.327322,54.98951,"Ewing Street","DRUG","LONDONDERRY",NA
"17443","2015-02",-6.001964,54.757088,"Ballyeaston Road","CDAR","BALLYCLARE",116
"190582","2016-03",-5.965403,54.593261,NA,"ASBO",NA,NA
"259234","2016-08",-6.096882,54.529075,NA,"ASBO",NA,NA
"277032","2016-09",-6.018179,54.556337,"Aspen Park","OTTH","Other Town",NA
"35814","2015-03",-5.916472,54.668154,"Roscor Square","VISO","NEWTOWNABBEY",67
"59083","2015-05",-6.028517,54.554503,"Altan Walk","OTTH","DUNMURRY",NA
"373826","2017-05",-5.871806,54.697001,"Glassillan Grove","ASBO","CARRICKFERGUS",198
"50421","2015-04",-5.926567,54.652576,"Arthur Avenue","VISO","Other Town",NA
"299917","2016-11",-6.653657,54.345886,"Dobbin Street","ASBO","ARMAGH",113
"391066","2017-06",-6.336734,54.453261,"Mourneview Avenue","CDAR","LURGAN",197
"17841","2015-02",-5.813692,54.713774,NA,"DRUG",NA,NA
"8065","2015-01",-6.330384,54.461152,"Moores Lane","SHOP","Other Town",NA
"81916","2015-07",-5.740549,54.417251,"Beechview Road","ASBO","CROSSGAR",42
"207836","2016-04",-5.928346,54.55148,"Castlerobin Road","OTTH","BELFAST",232
"381196","2017-05",-6.218029,54.714214,"Railway Street","VISO","Other Town",NA
"56951","2015-05",-5.975901,54.623042,"Primrose Street","CDAR","Other Town",NA
"69622","2015-06",-5.96098,54.59289,"Dairy Street","ASBO","BELFAST",232
"249619","2016-07",-5.918262,54.579808,"Park Road","OTTH","Other Town",NA
"335722","2017-02",-6.95156,54.675401,NA,"ASBO",NA,NA
"347039","2017-03",-5.912931,54.659215,"Rathcoole Close","ASBO","NEWTOWNABBEY",67
"324282","2017-01",-5.902839,54.583135,"Earl Haig Park","BURG","BELFAST",232
"7827","2015-01",-5.925116,54.597105,NA,"PUBO",NA,NA
"287253","2016-10",-6.216385,54.736785,"Springfarm Road","ASBO","ANTRIM",168
"335399","2017-02",-5.925144,54.610853,"Bentinck Street","ASBO","BELFAST",232
"233889","2016-06",-5.69073,54.28578,"Coniamstown Road","CDAR","DOWNPATRICK",58
