"","Organisation name","Sub-building Name","Building Name","Number","Primary Thorfare","Alt Thorfare","Secondary Thorfare","Locality","Townland","Town","County","Postcode","x-coordinates","y-coordinates","Primary Key"
"825917",NA,NA,NA,"25","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EP",267561,421714,825917
"825918",NA,NA,NA,"3","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SF",268027,422494,825918
"825923",NA,NA,NA,"37","SPERRIN ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AS",267445,422431,825923
"825924",NA,NA,NA,"2","CRAWFORD SQUARE",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BZ",267590,423356,825924
"825926",NA,NA,NA,"3","EVENTIDE GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AX",267414,422542,825926
"825927",NA,NA,NA,"27","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267419,421818,825927
"825930",NA,NA,NA,"3","CASTLE GARDENS",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268394,422902,825930
"825931",NA,NA,NA,"75","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267172,422172,825931
"825932",NA,NA,NA,"12","RATHBEG CRESCENT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AT",267546,422547,825932
"825933",NA,NA,NA,"13","ROEVIEW PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267079,422277,825933
"825934",NA,NA,NA,"71","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267185,422177,825934
"825935",NA,NA,NA,"59","BURNALLY ROAD",NA,NA,NA,"FARLOW","LIMAVADY","LONDONDERRY","BT499DP",265135,424277,825935
"825936",NA,NA,NA,"24","DROMORE AVENUE",NA,NA,NA,"DROMORE","LIMAVADY","LONDONDERRY","BT499LX",265183,420189,825936
"825940",NA,NA,NA,"3","IRWIN AVENUE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499HF",267269,421721,825940
"825941",NA,NA,NA,"36","KILLANE ROAD",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490DN",267666,423606,825941
"825942",NA,NA,NA,"11","TYLER PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267834,423469,825942
"825943",NA,NA,NA,"42","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267847,422809,825943
"825944",NA,NA,NA,"81","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SE",268285,422695,825944
"825946",NA,NA,NA,"6","GLENSIDE BRAE",NA,NA,NA,"DEER PARK","LIMAVADY","LONDONDERRY","BT490RY",267900,421672,825946
"825948",NA,NA,NA,"57","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269075,422461,825948
"825949",NA,NA,NA,"29","NEWTON ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268568,422719,825949
"825952",NA,NA,NA,"45","ROEVIEW PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267022,422317,825952
"825953",NA,NA,NA,"9","ROE PARK COURT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499RP",267027,422613,825953
